Authors;Scores
Brandl F.;0.87
Lambrechts T.;0.87
Ahonen N.;0.87
Kuhn T.;0.86
Fontanili F.;0.86
Lu Q.;0.86
Gallego-García S.;0.86
Rahm J.;0.86
Kim H.-C.;0.86
Samir K.;0.86
George D.G.;0.86
Meidow J.;0.86
Farkas G.;0.85
Armendia M.;0.85
Souza V.;0.85
Heber G.;0.85
Turner J.;0.85
Ashtari Talkhestani B.;0.85
Norfolk M.;0.85
Bornoff R.;0.85
Edwards D.J.;0.84
Sivabalan A.S.;0.84
Tamas L.;0.84
Hutabarat W.;0.84
Joordens M.;0.84
Hadar E.;0.84
Kaigom E.G.;0.84
Abramkin S.E.;0.84
He B.;0.84
Ryabchikov I.;0.84
Auris F.;0.83
Kiermeier M.;0.83
Quiza R.;0.83
Xu K.;0.83
Martins A.;0.83
Ko H.;0.82
Vyatkin V.;0.82
Weigelt M.;0.81
Lindow K.;0.81
Ohmer M.;0.81
Zou F.;0.81
Reis J.;0.81
Rovny O.;0.81
Becue A.;0.81
Kampker A.;0.81
Deac G.C.;0.81
Schamp M.;0.81
Cugnon F.;0.80
Tomiyama T.;0.80
Mahadevan S.;0.80
York W.;0.79
Grandi F.;0.79
Beltman A.-J.;0.79
Yan Q.;0.79
Bettenhausen K.D.;0.79
Hartl D.;0.79
Ling Y.;0.79
Zou Y.;0.79
Zhou Z.;0.78
Nam Y.W.;0.78
Ng A.H.C.;0.78
Louhichi W.;0.78
Sus S.;0.78
Puljiz D.;0.78
Worden K.;0.77
Di Maio M.;0.76
Spottswood S.M.;0.76
George T.;0.76
Li Y.;0.76
Quint F.;0.76
Kim Y.-M.;0.75
Donhauser T.;0.75
Sun H.;0.75
Rodemann T.;0.75
Venkatesan S.;0.75
Chakshu N.K.;0.75
Perzylo A.;0.75
Uhlenkamp J.-F.;0.75
Guivarch D.;0.75
Eisentrager M.;0.74
Millwater H.;0.74
Dahl M.;0.74
Caldarola E.G.;0.74
Yang W.;0.74
Liu S.;0.74
Parlikad A.K.;0.74
Diez H.V.;0.74
Schloegl W.;0.74
Lee D.;0.74
Szaller Á.;0.74
Jiang Y.;0.74
Suh S.-H.;0.73
Leu M.C.;0.73
Wang K.I.-K.;0.73
Zheng Y.;0.72
Cella U.;0.72
Mogensen P.E.;0.72
Corrado A.;0.72
Xanthakis E.;0.72
Bobka P.;0.72
Trulsen A.;0.71
Sunny S.M.N.A.;0.71
Hartman N.;0.71
Kubo A.;0.71
Yu J.;0.71
Aarnio P.;0.70
Ezhilarasu C.M.;0.70
Thieling J.;0.70
Bunting P.;0.70
Höyhtyä M.;0.70
Zohdi T.I.;0.70
Papazoglou M.P.;0.70
Wittig N.;0.70
Bhowmik S.;0.70
Sun J.;0.70
Stenfelt M.;0.70
Dong R.;0.69
Omer M.;0.69
Patrikeev A.;0.69
He R.;0.69
Karve P.M.;0.69
Schützer K.;0.69
Losi E.;0.69
Bakliwal K.;0.69
Csiszar A.;0.69
Kassner L.;0.69
Kang G.;0.68
Eitzinger C.;0.68
Espindola D.B.;0.68
Trancossi M.;0.68
