Authors;Scores
Jing;7.21
A.I.;7.18
Keller;7.15
Mukherjee;7.13
Jordan;7.12
Ahmadi;7.11
Carey;7.11
E.C.;7.08
N.R.;7.08
Koch;7.07
Chow;7.07
Lo;7.06
Pires;7.06
Hua;7.06
Chai;7.01
Chi;7.00
Baker;6.99
L.R.;6.98
Almeida;6.97
Sarkar;6.96
Fischer;6.94
S.-J.;6.93
Kelly;6.93
Oliveira;6.91
C.B.;6.90
Lei;6.89
X.-Y.;6.86
Hernandez;6.86
Bian;6.85
M.-H.;6.83
Y.-J.;6.81
S.F.;6.81
C.W.;6.81
K.K.;6.78
Kalita;6.76
Chatterjee;6.75
Hirano;6.74
Nweke;6.73
Mu;6.72
Cook;6.72
Schneider;6.71
Weiss;6.71
Morita;6.70
Amin;6.69
Gravina;6.68
Zebin;6.67
Rana;6.66
Pinto;6.64
C.Y.;6.64
G.K.;6.64
K.N.;6.63
Wagner;6.57
M.W.;6.56
Y.S.;6.47
Allen;6.44
Rocha;6.41
L.K.;6.39
Hramov;6.38
Farooq;6.37
C.P.;6.36
D.E.;6.35
Kao;6.33
C.F.;6.32
Agrawal;6.30
Nelson;6.30
Lotfi;6.28
D.V.;6.25
Ouyang;6.22
Parker;6.22
T.K.;6.22
Lima;6.21
G.P.;6.19
Chaudhary;6.19
Jiao;6.17
Mori;6.17
Shahroudy;6.14
Roberts;6.12
S.-C.;6.12
R.R.;6.11
Braun;6.09
Kumari;6.09
Gomaa;6.08
Rashid;6.05
L.F.;6.04
C.K.;6.03
Shrestha;6.00
Krishnan;5.99
Vogel;5.99
Ahn;5.98
Joshi;5.98
Huber;5.98
Butler;5.97
Wolfe;5.94
Malik;5.93
Santos;5.92
Can;5.91
You;5.91
Gibson;5.90
Evans;5.90
G.R.;5.90
Yousefi;5.89
T.N.;5.89
P.H.;5.89
Jaiswal;5.86
Ling;5.84
Sanchez;5.83
Campbell;5.82
Mirzaei;5.82
K.T.;5.81
R.F.;5.77
H.E.;5.74
Lian;5.74
B.D.;5.73
C.-C.;5.73
Abbas;5.68
D.B.;5.68
Richard;5.68
Lambert;5.67
Sousa;5.67
Dutta;5.66
Y.-H.;5.64
Harrison;5.63
Davies;5.63
Y.-L.;5.62
Qu;5.61
Dang;5.61
Bhattacharjee;5.61
E.K.;5.61
Fernandez;5.61
An;5.60
Kushwaha;5.58
Lan;5.57
Stein;5.56
Schumacher;5.56
V.S.;5.55
Lyu;5.55
Patil;5.54
E.D.;5.52
Gurbuz;5.52
Hayes;5.50
Yamaguchi;5.50
Rueda;5.50
J.-J.;5.49
W.-C.;5.47
G.E.;5.47
S.T.;5.46
Ogawa;5.45
Clarke;5.45
X.-H.;5.45
Jitpattanakul;5.43
Srivastava;5.42
Perez;5.41
Sherman;5.40
V.J.;5.38
C.G.;5.38
R.W.;5.37
Wood;5.36
Pal;5.36
S.Y.;5.34
D.O.;5.34
San-Segundo;5.33
V.M.;5.33
Perry;5.32
Cheung;5.32
D.W.;5.32
W.S.;5.30
C.T.;5.30
Shibata;5.29
J.-M.;5.29
Ong;5.28
Bello;5.28
Garg;5.27
K.-S.;5.27
Moreno;5.27
Scott;5.25
Young;5.24
Mahmud;5.24
W.-Y.;5.23
S.-S.;5.22
Shirahama;5.22
Ryan;5.22
Shukla;5.21
Munoz-Organero;5.20
Biswas;5.20
Serrano;5.19
H.H.;5.19
G.L.;5.19
Micucci;5.18
Rokni;5.18
Simon;5.17
Bartel;5.17
Sluchanko;5.15
Cruciani;5.15
B.T.;5.15
A.-K.;5.15
Ramachandran;5.12
Dimitrov;5.12
Jensen;5.11
Mohammed;5.11
Shan;5.10
Bao;5.10
Sztyler;5.10
K.P.;5.09
Kobayashi;5.09
Lau;5.08
Murray;5.06
Russo;5.05
Oh;5.05
Varshney;5.04
Knight;5.04
N.E.;5.03
Y.M.;5.03
Guerra;5.03
Morrison;5.02
Yamamoto;5.02
Esposito;5.02
T.B.;5.01
