Authors;Scores
Bui T.-D.;0.90
Manga V.E.;0.89
Ribić B.;0.89
Generowicz A.;0.89
Bernstad Saraiva A.;0.89
Agovino M.;0.89
Shen L.;0.89
Zhang Y.;0.89
Björklund A.;0.88
Tudor T.;0.88
Al-Sari M.I.;0.88
Masud M.H.;0.87
Morton A.;0.87
Tunesi S.;0.87
Godfrey L.;0.87
Salhofer S.;0.87
Wang Y.;0.87
Hogland W.;0.86
Li G.;0.86
Arena U.;0.85
Starostina V.;0.85
Tot B.;0.84
Saeidi-Mobarakeh Z.;0.83
Salgado M.M.;0.83
Fatimah Y.A.;0.83
Edwards J.;0.83
Alshammari J.S.;0.83
Ding Z.;0.83
Bartolacci F.;0.83
Wang H.;0.83
Kubanza N.S.;0.81
Rawal N.;0.81
Jr.;0.81
Zhang J.;0.80
El-Zein A.;0.80
Shirahada K.;0.80
Arafat H.A.;0.80
Animasaun E.D.;0.80
Gupta S.K.;0.80
Satija A.;0.80
Sagan J.;0.80
Ciampichetti A.;0.80
Pharino C.;0.80
Kantola J.;0.80
Aghezzaf E.-H.;0.80
Lo C.W.H.;0.80
Dlamini S.;0.79
Zawawi E.M.A.;0.79
Yusof N.S.;0.79
Sultanova D.;0.79
Alpaslan M.N.;0.79
Gnoni M.G.;0.79
Tsakona M.;0.79
Gallardo A.;0.78
Havukainen J.;0.78
Finnveden G.;0.78
Karamouz M.;0.77
Paul K.;0.77
Ilankoon I.M.S.K.;0.76
Sakai S.;0.76
Kulczycka J.;0.75
Karimi N.;0.75
Sarkady A.;0.75
Cheeseman C.R.;0.73
Qin X.S.;0.73
Chen J.;0.73
Zeng X.;0.73
Torkashvand J.;0.73
Haupt M.;0.73
Genon G.;0.72
Asteria D.;0.72
Zhao Y.;0.72
Ragazzi M.;0.72
Li X.;0.72
Le K.N.;0.72
Singh R.M.;0.72
Bolton K.;0.72
Srivastava R.K.;0.72
Serkkola A.;0.72
Gaska K.;0.72
Barlow C.Y.;0.72
Lange L.C.;0.72
Vaccari M.;0.71
Velis C.A.;0.71
Bortoleto A.P.;0.71
Sawell S.E.;0.70
Eighmy T.T.;0.70
Maamari O.;0.70
Blengini G.A.;0.70
Ripa M.;0.69
Shen L.Y.;0.69
Sun S.;0.69
Ejaz N.;0.69
Zhou C.;0.69
Moussiopoulos N.;0.69
Teng H.;0.68
Hung Y.-T.;0.68
Abdoli M.A.;0.68
Mastellone M.L.;0.68
Chaerul M.;0.68
Karagiannidis A.;0.68
Sarc R.;0.68
Marchi M.;0.68
Zhou X.;0.68
Pant R.;0.68
Bisaillon M.;0.68
Boojh R.;0.68
Zhang H.;0.68
Nabizadeh R.;0.67
Bolingbroke D.;0.67
Boldrin A.;0.67
Stauffacher M.;0.67
Ibáñez-Forés V.;0.66
Jain R.;0.66
Cooper T.;0.66
Zapata Campos M.J.;0.65
Nie X.;0.64
Duygan M.;0.64
Moora H.;0.64
Zhang Q.;0.64
Rechberger H.;0.63
Kučar-Dragičević S.;0.63
Price T.;0.63
Nitivattananon V.;0.63
Rahim Matondang A.;0.63
Jin D.;0.63
Falbo A.;0.63
Chi G.F.;0.63
Schoenberger E.;0.63
Clarke B.;0.63
Banerjee S.;0.62
Klemeš J.J.;0.62
Jones F.V.;0.61
Lim J.S.;0.61
Mol M.P.G.;0.61
Chen B.;0.61
Nisar H.;0.60
Seng B.;0.60
Schindler S.;0.60
Emek E.;0.60
Kanojia A.;0.60
Marashlian N.;0.60
Pikoń K.;0.60
Pradhan M.;0.60
Tun M.M.;0.60
Ossenbruggen P.J.;0.60
Pattnaik S.;0.60
Miyazaki M.;0.60
Adenso-Díaz B.;0.60
Koroneos C.J.;0.60
Tumaševičiūtė R.;0.60
Beigl P.;0.60
Kabera T.;0.60
Horomnea A.;0.60
Sterner T.;0.60
Inghels D.;0.60
Ojo O.O.;0.60
Schreiber A.;0.60
Windfeld E.S.;0.60
Chen L.F.;0.60
Indrosaptono D.;0.60
Kaseva M.E.;0.60
Kim J.-M.;0.60
Vivekanand V.;0.60
Capoor M.R.;0.60
Bindu C.A.;0.60
Simon F.-G.;0.60
Jati R.K.;0.60
Sharma B.K.;0.60
Marconsin A.F.;0.60
Dutta S.;0.60
Zia H.;0.60
Chandra Putra Parura T.;0.60
Cheng C.-Y.;0.60
Suwan C.;0.60
Pimpuang T.;0.60
Bizcocho N.;0.60
Richards E.;0.60
Ebrahimi K.;0.60
Kikuchi R.;0.60
Mohan S.;0.60
Akmal T.;0.60
Muhamad Faudzi N.A.;0.60
Masood A.;0.60
Lusugga Kironde J.M.;0.60
Thakur V.;0.60
Abushammala M.F.M.;0.60
Sambhanthan A.;0.60
Purcell M.;0.60
Bai R.;0.60
Kacker P.;0.60
Ngoc U.N.;0.60
Bourg A.C.M.;0.60
Nakata T.;0.60
Couto J.P.;0.60
Usapein P.;0.60
Mohamed Soliman S.;0.60
Barnard R.;0.60
Resmi N.G.;0.60
Basri H.B.;0.60
Macias A.;0.60
Malmir T.;0.60
Ezirim I.;0.60
Barbosa F.C.L.;0.60
Abdul M.;0.60
Badran M.F.;0.60
Calderón Márquez A.J.;0.60
Shala S.;0.60
Won J.;0.60
Kayihan K.S.;0.60
Enes E.;0.60
Zaki A.N.;0.60
Schreck M.;0.60
Zand A.D.;0.60
Corvellec H.;0.60
Amfo-Out R.;0.60
De La Barrera B.;0.60
Pardo Martínez C.I.;0.60
Faruqi M.H.Z.;0.60
Priti;0.60
Massoud M.;0.60
Dan N.P.;0.60
Freitas L.A.R.U.;0.60
Jamas T.;0.60
Al-Jabi M.;0.60
Özdemir T.;0.60
Zacho K.O.;0.60
Borisov A.I.;0.60
Földes E.;0.60
Friedrich E.;0.60
Elam M.;0.60
Sharma D.;0.60
Sufian M.A.;0.60
Tran M.D.;0.60
Faheem S.M.;0.60
Koneczny K.;0.60
Koufodimos G.;0.60
Hossain M.U.;0.60
Sartaj M.;0.60
Bivainis J.;0.60
Rawat S.;0.60
Ferreira V.;0.60
Liamsanguan C.;0.60
Chowdhury B.;0.60
Agapitidis I.;0.60
Costa I.M.;0.60
Messineo A.;0.60
Kgathi D.L.;0.60
Eren E.;0.60
Thavalingam V.;0.60
MacRae G.;0.60
Fujii H.;0.60
Ighravwe D.E.;0.60
Stanic-Maruna I.;0.60
Agrawal V.;0.60
Lim S.-R.;0.60
Jorgensen C.H.;0.60
Ragossnig A.;0.60
Miliute J.;0.60
Alam O.;0.60
Yousif D.F.;0.60
Gurauskiene I.;0.60
Sanders M.C.;0.60
Greene K.L.;0.60
Raghu S.J.;0.60
Halla F.;0.60
Kolekar S.S.;0.60
Sugiyama D.;0.60
Song H.-S.;0.60
Dong A.;0.60
Manning L.;0.60
Okuda I.;0.60
Jomehpour M.;0.60
Darko E.O.;0.60
Fletcher P.;0.60
Uysal F.;0.60
Ben Cheikh N.;0.60
Lee-Geiller S.;0.60
Muhammad H.S.;0.60
El Hanandeh A.;0.60
Di Nino T.;0.60
de S. Pereira T.;0.60
Slavik J.;0.60
Sobotka A.;0.60
Valizadeh S.;0.60
Okot-Okumu J.;0.60
Chen T.-C.;0.60
Pearce D.W.;0.60
Chvatal J.A.;0.60
Pokhrel D.;0.60
Zhang R.;0.60
Murad Md.W.;0.60
Couth R.;0.60
Balkey J.J.;0.60
Nevskaya M.A.;0.60
Moreira A.M.M.;0.60
Raila E.M.;0.60
Wismer S.;0.60
Mitchell C.;0.60
Koide H.;0.60
Dotoli M.;0.60
Darji J.A.;0.60
Chin Y.H.;0.60
Wahid Murad Md.;0.60
Fang Y.;0.60
Liang L.;0.60
Moloi E.M.;0.60
Bellini A.;0.60
Ren X.;0.60
Ulsido M.D.;0.60
Mortaheb M.M.;0.60
Soukopová J.;0.60
Santhosh Kumar M.P.;0.60
McKinney J.;0.60
Sharmin S.;0.60
Nahman A.;0.60
Heller N.;0.60
Kulkarni B.N.;0.60
Ferraz A.F.;0.60
Misra V.;0.60
Kharrat L.;0.60
Lee S.;0.60
Tulokhonova A.;0.60
Kostyshak M.;0.60
Garach P.V.;0.60
Pirlone F.;0.60
Khudyakova T.;0.60
Laksmi M.P.;0.60
Alam T.;0.60
Issac R.;0.60
Kurien G.P.;0.60
Siregar A.M.;0.60
Baloyi O.;0.60
Xue M.;0.60
Setiawan I.;0.60
Consonni S.;0.60
Tomić T.;0.60
Kirilchuk I.;0.60
Osibanjo O.;0.60
Basnayake B.F.A.;0.60
Niska H.;0.60
Vaillancourt K.;0.60
Wichai-utcha N.;0.60
Ozabor F.;0.60
Abd Rahim M.H.I.;0.60
Gören S.;0.60
Aravelli G.S.L.K.;0.60
Maphosa V.;0.60
Zhao D.;0.60
Sharma S.K.;0.60
Khan D.;0.60
Geritno B.;0.60
Grace Mary Kanaga E.;0.60
Dilly G.A.;0.60
Donchenko V.K.;0.60
Popov A.A.;0.60
Manyele S.V.;0.60
Dahab M.F.;0.60
Cavalletti B.;0.60
Fei-Baffoe B.;0.60
Riggi E.;0.60
Ranasinghe W.W.;0.60
Ye B.;0.60
Hanandeh A.E.;0.60
Barlishen K.D.;0.60
Hangulu L.;0.60
Campuzano M.G.;0.60
Chou I.-H.;0.60
Hwang B.-G.;0.60
Rahji M.A.Y.;0.60
Muñoz E.;0.60
Ooshaksaraie L.;0.60
Nunes K.R.A.;0.60
Linzner R.;0.60
Hernández-Padilla F.;0.60
Aarnio T.;0.60
Bhaskar K.;0.60
Chowdhury M.O.S.;0.60
Pirani S.I.;0.60
Price J.L.;0.60
Murad W.;0.60
Minelgaitė A.;0.60
de Morais Lima P.;0.60
Hazra T.;0.60
Starostka-Patyk M.;0.60
Koenig A.;0.60
Sridan P.;0.60
Iacovidou E.;0.60
Mallawarachchi H.;0.60
Otutubikey Izugbara C.;0.60
Pandey P.;0.60
Vilms M.;0.60
Ilić M.;0.60
Roshan R.;0.60
Widaningsih S.;0.60
Wang C.-S.;0.60
Elsaid S.;0.60
Moh Y.;0.60
Edeme R.K.;0.60
Pitt M.;0.60
Brogaard L.K.;0.60
Patil A.D.;0.60
Somani M.;0.60
Cooper B.;0.60
Sylvani S.;0.60
Aleluia J.;0.60
Patil P.M.;0.60
Odonkor S.T.;0.60
Royal Edward Williams A.;0.60
Gulis G.;0.60
Hiremath T.;0.60
Fagnani E.;0.60
Jaskowska-Lemańska J.;0.60
Dietz S.;0.60
Sundberg J.;0.60
Chen Z.;0.60
Meylan G.;0.59
Wong J.W.C.;0.59
Ekvall T.;0.59
Shahparvari S.;0.59
Forton O.T.;0.59
Souza R.G.;0.59
Baldwin A.;0.59
Zhang Y.M.;0.59
Kumar R.;0.59
Yuan H.P.;0.59
Wang J.;0.59
Lu W.;0.58
Mahler C.F.;0.58
Pennington D.W.;0.58
Ojovan M.I.;0.58
Jouhara H.;0.58
Scott D.;0.57
Krishnan N.;0.56
Xue B.;0.55
Asadpoori A.;0.55
Zurbrügg C.;0.55
Tavakkoli-Moghaddam R.;0.55
Pereira J.J.;0.55
Wakabayashi Y.;0.55
Gad F.K.;0.55
Zhang L.;0.55
Sun Y.;0.55
Clavreul J.;0.55
Hauschild M.Z.;0.55
Manaf L.A.;0.54
Waris A.;0.54
Achillas C.;0.54
Abdel Rahman R.O.;0.54
Xu W.;0.54
Li C.;0.54
Yeh C.-H.;0.53
Wang Z.;0.53
Wang J.Y.;0.53
Ramzan S.;0.53
Padmi T.;0.53
Hao J.;0.53
Wibowo M.A.;0.53
Cheng C.;0.52
Rahardyan B.;0.52
Lim S.;0.52
Gavrilescu M.;0.52
Pomberger R.;0.52
Naddafi K.;0.52
Yaghmaeian K.;0.52
Chattopadhyay S.;0.51
Zahraie B.;0.51
Mancini S.D.;0.51
Fan B.;0.51
Ayalon O.;0.50
Sun W.;0.50
Wan M.;0.49
Liu M.;0.49
Mesdaghinia A.;0.49
Aoustin E.;0.49
Cheeseman C.;0.49
Mbohwa C.;0.49
Gamal A.;0.49
Mourshed M.;0.49
Sharma M.;0.47
Migliore M.;0.47
Tascione V.;0.47
Imran;0.47
Smith G.E.;0.47
Setyowati M.;0.47
Madadian E.;0.47
den Boer J.;0.47
Reshmi W.;0.47
Hélias A.;0.47
Krasniqi I.;0.47
Adeniran A.E.;0.47
De Melo Ferreira E.;0.47
Liu T.-K.;0.47
Romano G.;0.47
Trang P.T.T.;0.47
Davidavičiene V.;0.47
Ferdowsi A.;0.47
Yazie T.D.;0.47
Aung T.S.;0.47
Shanmugasundaram J.;0.47
Gopala Sharma A.;0.47
Aprilia A.;0.47
Maqsood I.;0.47
Kasabdji G.S.;0.47
Jin J.;0.47
Elgazzar R.F.;0.47
Bao Z.;0.47
Kashyap S.;0.47
Kucukvar M.;0.47
Ayele Y.Z.;0.47
Baxter G.;0.47
Mavropoulos A.;0.47
Garcia-Garcia G.;0.47
Cucchiella F.;0.47
Stępień M.;0.47
Aja O.C.;0.47
Tam V.W.;0.47
Sibanda L.K.;0.47
Rudraswamy S.;0.47
Chapungu L.;0.47
Elhassan R.;0.47
Berkun M.;0.47
Deng X.;0.47
Jensen M.B.;0.47
Bernad-Beltrán D.;0.47
Rerat C.;0.47
Zheng S.;0.47
Desta H.;0.47
de Andrade Junior M.A.U.;0.47
Sahni P.;0.47
Saeid N.;0.47
Trinh L.T.K.;0.47
Esmaeili H.;0.47
Archana B.R.;0.47
Twynam A.J.;0.47
Qin X.;0.47
Abdulla F.;0.47
Ratkovic B.;0.47
Leila J.;0.47
Hoogmartens R.;0.47
He K.;0.47
Sharma N.;0.47
Smallwood K.S.;0.47
Khan M.M.H.;0.47
Supriyadi S.;0.47
Arifin H.;0.47
Maghmoumi A.;0.47
Mühlich M.;0.47
Budhiarta I.;0.47
Cobo S.;0.47
Akinci G.;0.47
Daskal S.;0.47
Hupponen M.;0.47
Özeler D.;0.47
Thorneloe S.A.;0.47
Subašić D.;0.47
Ferri G.L.;0.47
Pratap V.;0.47
Tanskanen J.-H.;0.47
Mohamed L.F.;0.47
Zuin S.;0.47
Barton J. R.;0.47
Noman M.;0.47
Wakeyo D.B.;0.47
Deshmukh R.;0.47
Woolridge A.;0.47
Mauco K.L.;0.47
Eduljee G.H.;0.47
Rosli M.F.;0.47
Liu X.;0.47
Cheng X.;0.47
Banerjee T.;0.47
Dlamini B.R.;0.47
Bharadwaj A.S.;0.47
Birpinar M.E.;0.47
Akkoyunlu A.;0.47
McBean E.A.;0.47
